n_total,likelihood,repeat,mse,coverage,ci_width,wall_time_s,rhat,neff
576,wdm,59,0.1873826761458362,0.9130434782608696,1.6793932665094078,1.8784935000003316,1.006090067007968,429.91046470634694
576,wdm,60,0.1946183759897536,0.8656126482213439,1.64583480049705,1.8964409999898637,1.00084416295552,495.81856202188567
576,wdm,61,0.2317610867125507,0.8596837944664032,1.6533687938264898,1.877194541040808,1.000311311604199,487.0738669694847
576,wdm,62,0.2313845174569807,0.9189723320158104,1.7266741887825257,1.8838167500216512,1.0025910157197644,374.59091514024504
576,wdm,63,0.2270414437008079,0.8359683794466403,1.6139847865055512,1.8909344169660471,1.0024378350754608,492.662142188986
576,wdm,64,0.2182316762956778,0.8774703557312253,1.767299934323585,1.9018707500072196,1.006050749151401,251.07318110589307
576,wdm,65,0.1805281917090478,0.8695652173913043,1.6355634152578988,1.8777525409823284,1.0019163641672628,472.52010361678634
576,wdm,66,0.1525772466295697,0.8992094861660079,1.6565315724643108,1.8908579999697397,1.005724882271962,394.4975023538372
576,wdm,67,0.3386413842082964,0.8616600790513834,1.635475553961058,1.8557769159669988,1.0034193782142742,456.2698822929734
576,wdm,68,0.2419147517686212,0.8537549407114624,1.6539777246978125,2.382239583996125,1.0096104802887649,406.7751403770096
576,wdm,69,0.2329786723634114,0.8873517786561265,1.7562466074044918,1.881223541975487,1.0064400857667697,300.13929441234444
576,wdm,70,0.1953979934159344,0.9150197628458498,1.755282637222655,1.861717417021282,1.0029611130822138,351.7254960412911
576,wdm,71,0.1283461044399609,0.9288537549407114,1.6491664884756323,1.9061064170091413,1.0063271000681449,312.7050540797822
576,wdm,72,0.1689067851268419,0.924901185770751,1.705617059667059,1.914899791998323,1.004189886001443,375.55898338230503
576,wdm,73,0.3276971364414288,0.8656126482213439,1.7315608405472382,1.9590898329624904,1.0044354615578206,421.2871945844444
576,wdm,74,0.156883205170892,0.9229249011857708,1.635829725142191,1.941545917012263,1.0064372853540773,575.3158490236219
576,wdm,75,0.2042377722222075,0.8952569169960475,1.636269777819093,1.914780082996003,1.001422283142931,457.5939306255266
576,wdm,76,0.2005432285284717,0.8656126482213439,1.6905912066251052,1.9296086669783108,1.0003490969459996,403.046938737852
576,wdm,77,0.2025327308234356,0.8972332015810277,1.648723429297749,1.9023092910065316,1.0021014486875564,385.83859042693496
576,wdm,78,0.2330139609552561,0.9229249011857708,1.7238150695922774,2.00755537499208,1.0015302242299924,346.10019736308396
576,wdm,79,0.2124735598154981,0.8952569169960475,1.6888525861243624,1.931169542018324,0.99941814055563,374.949376925327
576,wdm,80,0.1408025859201115,0.9071146245059288,1.7583320055291212,2.592309083032887,1.0000619907648955,612.3054015816458
576,wdm,81,0.2439582827911415,0.8221343873517787,1.7579298208498595,2.0379157090210356,1.0053426065753222,341.5845644082766
576,wdm,82,0.1249732598583266,0.9268774703557312,1.6487450382152955,1.867770457989536,0.9992284241813548,492.05876028995146
576,wdm,83,0.2121407563197164,0.9090909090909092,1.806654107481945,1.9104870000155645,1.0106377198385414,491.6167123217042
576,wdm,84,0.1827014516869066,0.883399209486166,1.6534454958126474,1.9100316669791937,1.0014916599971446,601.0616727536362
576,wdm,85,0.1937441755410421,0.9130434782608696,1.7540562740737142,1.8831239999854008,1.0089543075576373,422.3282668529227
576,wdm,86,0.1842735863027779,0.8893280632411067,1.6562106343019054,1.8433774589793757,1.0018260476435856,542.7461124884142
576,wdm,87,0.2366945786640944,0.9150197628458498,1.752012842980203,1.904759124969132,1.0025288445031733,330.5770124137703
576,wdm,88,0.2060846960409024,0.8972332015810277,1.6568655700650703,1.8643695829669016,1.0020790073317989,405.3806157635296
576,wdm,89,0.2751099972174561,0.8458498023715415,1.669166761150417,1.855680874956306,1.0023236510660207,340.72738173648605
576,wdm,90,0.2340660449372347,0.8438735177865613,1.6691219868153582,1.891727667010855,1.0023608824538606,437.98464680115273
576,wdm,91,0.1671174311552815,0.9189723320158104,1.7074741295090163,1.8653007080429231,1.007434301008253,654.8555576503538
576,wdm,92,0.220053191299416,0.8656126482213439,1.7428629831147464,1.877310624986421,1.0004579211676097,495.2284526939116
576,wdm,93,0.2433541725522113,0.8379446640316206,1.6774459353469116,2.63859158399282,1.002907115963961,493.4288441712045
576,wdm,94,0.2056585353199239,0.8754940711462451,1.6542744879549325,1.834528915991541,1.000224305305266,547.6250893496533
576,wdm,95,0.1802019523676393,0.9288537549407114,1.7072632968034684,1.9287069159909151,1.0001127088450072,397.5161881732046
576,wdm,96,0.1351215151993103,0.9565217391304348,1.702568899917985,1.8810067499871368,1.0117222551841127,432.8505091677505
576,wdm,97,0.2016871101429272,0.9229249011857708,1.7545041005671789,1.874470334034413,1.0127731312623875,327.0817832103392
576,wdm,98,0.1496783411375148,0.9367588932806324,1.6975697359593411,1.8577695420244709,1.0268487107744164,381.1733176863138
576,wdm,99,0.2765051441069834,0.8438735177865613,1.6702346201080618,1.8854139579925688,1.0106964468169757,431.2576703461253
576,mp,0,0.1536715529135889,0.865625,1.425261445204618,2.5341783330077305,1.000961018306183,502.5220451534143
576,mp,1,0.1596664505152126,0.8958333333333334,1.412611083379232,2.1588225419982336,1.000577135454183,531.3809497360915
576,mp,2,0.1272744426060323,0.91875,1.4297579533669842,2.174873999960255,1.0018823591297563,300.46155779685637
576,mp,3,0.1162308142056743,0.9083333333333332,1.4009425439394054,2.200484041997697,0.999360904725982,480.137411469337
576,mp,4,0.0926096865316302,0.9479166666666666,1.4462246449128449,2.1613622920122,1.0067119665043074,417.5366011449063
576,mp,5,0.1272267144395558,0.8677083333333333,1.3996713555252298,2.202165041991975,1.01555371834181,425.1167498689199
576,mp,6,0.1536261155857618,0.8833333333333333,1.4126486489462071,2.1933836250100285,1.0017054833531436,398.69911964032065
576,mp,7,0.1188943206616686,0.8802083333333334,1.413141707917186,2.1839613329502754,1.002435747458159,441.5138097814672
576,mp,8,0.1439246457064936,0.9322916666666666,1.4309337233019075,2.2734119999804534,1.0081074051499368,282.6344046923086
576,mp,9,0.1167282366541953,0.93125,1.4368489937864617,2.200472000055015,1.0046362298834868,295.6912733091708
576,mp,10,0.1132012826977899,0.9052083333333332,1.4244213144615094,2.2552515830029733,1.0003268884042922,523.2854242765895
576,mp,11,0.1526578923693338,0.8541666666666666,1.40953015150246,2.1687927080201916,1.0063695067777747,355.0535667953949
576,mp,12,0.1255727324338863,0.9135416666666668,1.3913424155426222,2.2004724589642137,1.0106690495327462,353.2801002979412
576,mp,13,0.1207476368508615,0.934375,1.424125699629584,2.1980040000053123,1.0038710140042408,237.43244642091463
576,mp,14,0.1240265541027189,0.8958333333333334,1.3965273607993796,2.1945637090248056,1.0043411616390818,372.9587374173086
576,mp,15,0.1675380383991042,0.8666666666666667,1.4144598879405217,2.1688858330016956,1.0015111738640388,500.5918158803216
576,mp,16,0.195680985371002,0.8458333333333333,1.4155285355107734,2.153614332957659,1.003332166544623,536.1294233082136
576,mp,17,0.1348512464771744,0.8958333333333334,1.4162669505337184,2.189161333022639,1.0017241883153056,458.04601021720293
576,mp,18,0.1450845623478824,0.884375,1.3956192348225829,2.1928730420186184,1.0006264287348885,608.9306887643202
576,mp,19,0.1992206448518058,0.85625,1.4256989698297025,2.1322028749855235,1.0014399707579849,360.50331182355194
576,mp,20,0.0959848914387207,0.9,1.4080696644138144,2.1469829159905203,1.0010862770330446,620.9637842931215
576,mp,21,0.1460544990703144,0.8802083333333334,1.403493390393964,2.237796834029723,1.001451766754978,465.4558810280905
576,mp,22,0.1980512232187723,0.8385416666666666,1.4449712882070065,2.2210188749595545,1.0026678216955098,384.7677100512826
576,mp,23,0.135616013853207,0.8927083333333333,1.4151109694399868,2.4192293750238605,0.9992420180532718,453.70572598562006
576,mp,24,0.1100155513703936,0.921875,1.4304237645318267,2.196568249957636,1.0054122492154418,383.61553156676933
576,mp,25,0.1778445822800933,0.8677083333333333,1.4285474851962323,2.1926753749721684,1.0039968560740211,349.33046441887507
