n_total,freq_knots,likelihood,repeat,mse,coverage,ci_width,native_mse,wall_time_s,rhat,neff
576,8,wdm,0,0.17594506350357553,0.9175,1.4399680802414996,0.1956300431319303,11.926455166001688,1.0016930946733136,295.2676721089376
576,8,wdm,1,0.1972544770569814,0.8861111111111111,1.4206592597978918,0.20204350640090257,7.172807372000534,1.0055101841546261,448.021783831264
576,8,wdm,2,0.19225711546622007,0.91,1.4516162228368326,0.2490500251389481,7.154951886011986,1.0055190632624391,439.76725151968253
576,8,wdm,3,0.14667693693711334,0.9386111111111111,1.4307321618109692,0.17218081227436893,7.322696536997682,1.0029795293688817,493.1678580708243
576,8,wdm,4,0.1512447045192452,0.9138888888888889,1.4351747220855957,0.17709351353087194,7.405458082997939,1.0011922036554155,494.3028399559955
576,8,wdm,5,0.13541437049924493,0.9475,1.4100044553696465,0.21435573470140198,7.476783106001676,1.0093222876581722,473.83734274812934
576,8,wdm,6,0.22426205966455626,0.8694444444444445,1.4211978871791688,0.28153937997763495,7.493131358001847,0.9991276654448338,379.2977963865557
576,8,wdm,7,0.1796501896495585,0.8886111111111111,1.416392131595352,0.19047295031000813,7.538767712001572,1.0004454988334082,488.64717641143193
576,8,wdm,8,0.17872988523097402,0.9111111111111111,1.3963238785528074,0.18088016851724073,7.546665966001456,1.0053659173120022,434.3302674778389
576,8,wdm,9,0.1331662572608446,0.9313888888888889,1.4293127027974544,0.14633762249682764,7.512474910006858,1.0059261574052107,470.1405545718249
576,8,wdm,10,0.1201828820843969,0.9438888888888889,1.4144157792684753,0.14107539687291779,7.399350494000828,1.0044684032942914,452.903134024415
576,8,wdm,11,0.14862322797333485,0.9244444444444444,1.4144879201155742,0.1694273513996463,7.540310722004506,0.9998876653750411,470.4246164490205
576,8,wdm,12,0.13415718451778846,0.9538888888888889,1.4170115985693479,0.16472810466740626,7.69846133000101,1.0043013860123808,409.1382389968601
576,8,wdm,13,0.1291797078243536,0.9397222222222222,1.3926929436244964,0.145054794978818,7.642474991997005,1.0028124664055567,558.6655190518977
576,8,wdm,14,0.2179818892192913,0.8561111111111112,1.3881994127399406,0.26628920441606546,7.617037395000807,1.0062083165840314,451.44985373108807
576,8,wdm,15,0.18983167978636925,0.9086111111111111,1.413912371097628,0.21566217665642745,7.494316714000888,1.0048133821927048,567.72755885791
576,8,wdm,16,0.23781004315094165,0.8469444444444445,1.4129723332017783,0.23859258374974276,7.766520955992746,1.0001279398586618,597.4199641943796
576,8,wdm,17,0.1766985333099261,0.9205555555555556,1.4329208241074747,0.24974066908247577,7.699236694999854,1.0010423855496504,339.8574593732037
576,8,wdm,18,0.15322093283391958,0.9305555555555556,1.3939990766322459,0.18132507448853183,7.705102181003895,0.9994924726811152,443.49653429086067
576,8,wdm,19,0.21521694198222696,0.8527777777777777,1.431283122411373,0.18501636021362328,8.033442222993472,1.005490657839516,422.8786964302054
576,8,wdm,20,0.11485739289715863,0.9541666666666667,1.4057233662544564,0.1482715400087661,7.764998694998212,1.0002538863877768,360.54415169428404
576,8,wdm,21,0.16154846984992427,0.9255555555555556,1.4069561091130243,0.17821966960623598,7.730326139004319,1.0063551358221026,540.2113896396538
576,8,wdm,22,0.18041311152403436,0.9033333333333333,1.4205233448783445,0.2021400126099822,7.999702939996496,0.9997485706374305,467.3158613943265
576,8,wdm,23,0.13958721942192626,0.9391666666666667,1.402790680745599,0.15474650247747518,7.868121455991059,1.0013117542963137,436.6018988803123
576,8,wdm,24,0.18469700991704135,0.8919444444444444,1.4397705557220266,0.1948722152987897,7.778840193001088,1.0107961737963524,367.2758427887752
576,8,wdm,25,0.18259139969856703,0.8788888888888889,1.3975964520216728,0.20404766314724465,7.753926386998501,1.003478691370344,358.1502895805803
576,8,wdm,26,0.14231836092940758,0.9622222222222222,1.409779770463711,0.14982131953183792,7.83566942201287,1.0028439123402504,572.6837739172178
576,8,wdm,27,0.1364734058801492,0.9522222222222222,1.4280210873878494,0.16198365520727717,7.887088846007828,1.001679226746327,388.89002708207937
576,8,wdm,28,0.18488704724664856,0.8919444444444444,1.4212177815917029,0.1964474076019391,7.885832813990419,1.0027770154160123,564.6016395421638
576,8,wdm,29,0.10363529919449851,0.9638888888888889,1.4481416372886278,0.17163171573721417,8.220007647003513,1.003547454806945,474.4233120383374
576,8,mp,0,0.1617322775090831,0.9161111111111111,1.3846471665375275,0.6134634524310483,7.6487229249905795,1.002878044667344,474.2619239324928
576,8,mp,1,0.17276237278228687,0.9055555555555556,1.3556492683353558,0.6379730835480284,6.712823511988972,1.0137375346281943,384.6095812328066
576,8,mp,2,0.14163108832302965,0.9408333333333333,1.4070876469507807,0.5615030312954542,6.84590225899592,1.0034257787965997,292.27905291406347
576,8,mp,3,0.13757421666075484,0.9427777777777778,1.3624518378237964,0.5700147790421793,6.818471687001875,1.0044497862313186,398.6737611146284
576,8,mp,4,0.09410334280775576,0.9719444444444445,1.3949376345318394,0.5682737952873079,6.802031212995644,1.0094636707773148,507.05367234144256
576,8,mp,5,0.13913372683211475,0.9263888888888889,1.3572360839132909,0.5987656260283518,7.225722264003707,1.0010507018991666,415.1657385700161
576,8,mp,6,0.18252005648611425,0.8908333333333334,1.3719832328697192,0.6050470770768226,6.974938580999151,1.0002366460552083,447.0754338972555
576,8,mp,7,0.1437334149838867,0.9119444444444444,1.3619130311372605,0.5725406815939618,7.086047934004455,1.0016014570595484,535.6118307249077
576,8,mp,8,0.14307398658057735,0.9519444444444445,1.3681510639507066,0.5695695104045599,6.915518589012208,1.0170252588581006,300.6036855760694
576,8,mp,9,0.12926113937261105,0.9577777777777777,1.397934185528956,0.5888913353366679,7.246653280002647,1.0075142279309326,357.354125756918
576,8,mp,10,0.1344914532131025,0.9225,1.3920763964199707,0.559368102343996,6.899501716994564,1.0053294431204662,355.1980427571232
576,8,mp,11,0.17798194770021822,0.8872222222222222,1.34923072777013,0.6099567656201172,6.959256327012554,1.0035079974798626,397.20243691636364
576,8,mp,12,0.13028819003130365,0.9444444444444444,1.3747773604376512,0.5817656362821603,6.9605697770020925,1.0008567047814625,324.3759833868242
576,8,mp,13,0.1297857924171115,0.9463888888888888,1.3825100541715845,0.5853938544963817,7.0907434609980555,1.0023869574930449,359.28940430800367
576,8,mp,14,0.14291985450412797,0.9372222222222222,1.3545404052679626,0.5858089916494483,7.0021508159989025,1.0092477632405628,398.60078638507014
576,8,mp,15,0.16381925591115104,0.9005555555555556,1.3673171778940842,0.6057819755899874,7.07354103900434,1.0140299096346297,460.28744216126125
576,8,mp,16,0.20701489954323704,0.8661111111111112,1.3688073775169833,0.6219637904639692,7.370044487004634,1.0002203546576254,421.2419824871242
576,8,mp,17,0.1511542158919518,0.9283333333333333,1.3619691649885186,0.5772932203036545,7.178993223991711,1.0012071513912097,544.6975185266855
576,8,mp,18,0.1543120160284079,0.9163888888888889,1.35489736712397,0.6185081729737893,7.163773886990384,1.003722886236399,267.30626211591283
