n_total,likelihood,repeat,mse,coverage,ci_width,wall_time_s,rhat,neff
576,wdm,43,0.21088058486696273,0.9209486166007905,1.7314519829301125,2.1333130419952795,1.0084807064542696,374.8482897550541
576,wdm,44,0.22397578111600722,0.9090909090909091,1.7540521775327171,2.1357404169393703,1.000383339163931,550.8948984660199
576,wdm,45,0.19429143941134402,0.9110671936758893,1.6879492114974193,2.1628814169671386,1.0011928635858738,358.58105800901154
576,wdm,46,0.22339058624989808,0.883399209486166,1.6560997172756713,2.194794417009689,1.0021717749392787,337.6060703830965
576,wdm,47,0.20104595157900929,0.8992094861660079,1.6344695716202937,2.22271325008478,1.011738216494504,299.3453507613533
576,wdm,48,0.17220539333038368,0.9209486166007905,1.6722993073937158,2.2607258749194443,1.0025565799822111,522.1332759676734
576,wdm,49,0.18497076034828588,0.9110671936758893,1.7467053769259255,2.2465846670093015,1.0027509272783917,408.32598794517804
576,wdm,50,0.1953954825823735,0.932806324110672,1.746917225112581,2.140510458033532,1.0003426412580259,396.3790461744769
576,wdm,51,0.12621840105428275,0.9347826086956522,1.6445714715659898,2.1633960420731455,1.0065301641359354,420.4126476534451
576,wdm,52,0.22964232405147114,0.8754940711462451,1.729160987129306,2.0994243340101093,1.001011951579373,399.8848819787881
576,wdm,53,0.1583239360765904,0.9268774703557312,1.6597099261475192,2.0586676249513403,1.0064750584103808,361.65919995290625
576,wdm,54,0.21119543179431421,0.8735177865612648,1.6567753724916732,2.105838792049326,1.0105314296172287,529.3920582002424
576,wdm,55,0.3171172698787721,0.83399209486166,1.6838205677624452,2.118931957986206,1.0039331566602603,299.1088793001193
576,wdm,56,0.1553504502726443,0.9011857707509882,1.619414966767459,2.1656886249547824,1.0114681628196975,466.21757192324014
576,wdm,57,0.33111805062486255,0.8102766798418972,1.7296142575918418,2.175558791961521,1.0012119472935692,443.6021089749398
576,wdm,58,0.17677720823215723,0.9288537549407114,1.6869213325183265,2.2218134159920737,1.0044583007483088,420.5585340129251
576,wdm,59,0.18569219572001577,0.9110671936758893,1.671755225359049,2.1968570420285687,1.0051912178115208,509.7899097025191
576,wdm,60,0.19401356113854015,0.8754940711462451,1.6446595383890696,2.2089073749957606,1.0008845381226945,525.6133420360414
576,wdm,61,0.23184509636754633,0.8754940711462451,1.6623888258262272,2.192926791962236,1.0011598018842427,397.6015717268257
576,wdm,62,0.2290296661051151,0.9229249011857708,1.724514968267526,2.123492499929853,1.0015120297510907,333.83767465824235
576,wdm,63,0.22110788189806746,0.8399209486166008,1.6259424959735698,2.271948833949864,1.0022242085835285,470.8835067272597
576,wdm,64,0.21280406715902694,0.8992094861660079,1.7769621901404922,2.157568874885328,1.0112182174530429,269.7159202586524
576,wdm,65,0.18168561758117915,0.8675889328063241,1.6417564898207972,2.192805291968398,1.0043731588912668,575.9348286220576
576,wdm,66,0.1500031683323275,0.8972332015810277,1.660268088866181,2.1449297909857705,1.0009839565791032,526.5279220888444
576,wdm,67,0.34053110092813593,0.8656126482213439,1.629053586279222,2.4189567499561235,1.0036508380285807,415.0921627572005
576,wdm,68,0.23905828403569443,0.849802371541502,1.6517749597784495,2.1125719170086086,1.0044619556827963,431.4107394128333
576,wdm,69,0.23713825107321634,0.8893280632411067,1.7596371154316888,2.0617150409379974,1.0078676689864,222.18605784076536
576,wdm,70,0.19337482671991632,0.9051383399209486,1.7453650936413292,2.0999635419575498,1.008442687153758,395.98733230342543
576,wdm,71,0.1275592516964032,0.932806324110672,1.653206566936855,2.0603960000444204,1.0054313451180465,501.15334116410526
576,wdm,72,0.1609179917442313,0.9288537549407114,1.7130283701464202,2.1613964999560267,1.0117300285208155,397.04525948823624
576,wdm,73,0.3290596020796172,0.8537549407114624,1.6953490818885721,2.2874578749760985,1.0031047160204,288.9305678708463
576,wdm,74,0.15311464419305587,0.9229249011857708,1.6371849800018166,2.725927999941632,1.0073705646366464,485.1244718699274
576,wdm,75,0.20889961449874875,0.8913043478260869,1.649834635735711,2.214057791978121,1.0036426476645846,418.48557813820577
576,wdm,76,0.21312870513346024,0.8596837944664032,1.7235853511498263,2.28920224995818,1.0019756755581442,423.8980745050767
576,wdm,77,0.19970469548498357,0.9031620553359684,1.651075161172638,2.0518551249988377,1.0046097365821571,385.4078693628279
576,wdm,78,0.2386909336932948,0.9130434782608695,1.7289198797747902,2.1878774169599637,1.000692101187365,407.9560671992545
576,wdm,79,0.2101800920826431,0.9011857707509882,1.678670259263426,2.048257958027534,0.999878329352223,306.2278816166803
576,wdm,80,0.1399833047991228,0.9071146245059288,1.7722046146598516,2.084133124910295,1.0025419739694732,582.0357430708814
576,wdm,81,0.23839181636148926,0.8300395256916996,1.7491396274614188,2.182431458029896,1.0093525983493847,252.74312585722504
576,wdm,82,0.12563247274038108,0.9288537549407114,1.6804821667644114,2.1277240000199527,1.0002466156759322,567.7586620649166
576,wdm,83,0.20901079387057342,0.9110671936758893,1.7868378932098887,2.1221447080606595,1.009358060635392,413.8156572704938
576,wdm,84,0.17982578177686415,0.8913043478260869,1.6566765944307924,2.0631515419809148,0.9994143936545165,661.8558753041642
576,wdm,85,0.18977846329144143,0.9090909090909091,1.7503489854061656,2.103510875022039,1.0037679164974393,421.91714104782136
576,wdm,86,0.18562786315286495,0.8932806324110671,1.6741779981855442,2.0433782920008525,1.0020017078131802,497.04155688683585
576,wdm,87,0.24203783605743706,0.9071146245059288,1.7642206668592013,2.2185427920194343,1.0023459055792345,412.42061908970913
576,wdm,88,0.20186802726792744,0.9071146245059288,1.6519043823270623,2.0835604580352083,1.001956502985998,439.08460645678383
576,wdm,89,0.27417065379596534,0.841897233201581,1.6798006053760108,2.0414770409697667,1.0032573056799199,432.90784978311365
576,wdm,90,0.23053219757191407,0.8517786561264822,1.6720442765686845,2.0676478749373928,1.002450412020935,447.7336030809212
576,wdm,91,0.16329502021646233,0.9169960474308301,1.7033957450368182,2.074558624997735,1.0003874778330142,635.2750955142258
576,wdm,92,0.22623182299643,0.857707509881423,1.7193750843773516,2.09532412502449,0.9989600467452697,416.90857083716674
576,wdm,93,0.24177339124929625,0.8379446640316206,1.6772507558454322,2.201193124987185,1.0018346964074103,451.10660097227276
576,wdm,94,0.20448163448916803,0.8754940711462451,1.6610402839840999,2.1876736249541864,0.9997424145501835,498.56928588541115
576,wdm,95,0.17867841325125033,0.932806324110672,1.6895056248414475,2.2792826660443097,1.0023415715692234,347.8129757978354
576,wdm,96,0.13572283555081288,0.958498023715415,1.6854013359706086,2.101001749979332,1.0038152936051052,434.15624284749504
576,wdm,97,0.1881153736376282,0.9110671936758893,1.7103638273871664,2.2220462919212878,1.0045658474715884,297.19303823413014
576,wdm,98,0.1478620053888769,0.9308300395256917,1.7242120516234254,2.104814084013924,1.0125963306407972,404.87588975659713
576,wdm,99,0.27695673672411025,0.8458498023715415,1.6665276091538828,2.0835300830658525,1.0035762561183614,511.42623662694245
576,mp,0,0.15367155291358894,0.865625,1.425261445204618,3.4974635409889743,1.000961018306183,502.52204515341435
576,mp,1,0.15966645051521267,0.8958333333333334,1.412611083379232,2.3799039580626413,1.000577135454183,531.3809497360915
576,mp,2,0.1272744426060323,0.91875,1.4297579533669842,2.321571375010535,1.0018823591297563,300.46155779685637
576,mp,3,0.11623081420567431,0.9083333333333333,1.4009425439394054,2.4066127500263974,0.999360904725982,480.137411469337
576,mp,4,0.09260968653163021,0.9479166666666666,1.4462246449128449,2.349923334084451,1.0067119665043074,417.5366011449063
576,mp,5,0.12722671443955588,0.8677083333333333,1.3996713555252298,2.446772333001718,1.01555371834181,425.1167498689199
576,mp,6,0.1536261155857618,0.8833333333333333,1.4126486489462071,2.320624832995236,1.0017054833531436,398.69911964032065
576,mp,7,0.11889432066166862,0.8802083333333334,1.413141707917186,2.348382333992049,1.002435747458159,441.51380978146716
